team,expectedHomeruns
LAD,1.4583709301451235
SDP,0.7201044213239336
KCR,0.9159897120423437
LAA,0.932832582793883
OAK,1.8375617679098155
SEA,0.9695377318789296
MIN,1.18998753568413
TOR,0.8554140655957001
ARI,0.8985691880428723
BAL,1.3978216095863154
ATL,1.108115719406042
NYM,0.9097121419702066
PHI,0.9130081090220409
MIA,0.8930128694834576
NYY,1.117258084649389
TBR,0.7562162983215615
HOU,0.8970078679199925
DET,0.7676315119349175
CLE,0.944824226195943
CHW,0.7286177636561268
STL,0.7031312626918339
MIL,1.0982837753930985
CIN,0.7888992183456793
SFG,0.6739585787263804
TEX,0.8098702536783031
COL,0.8050818620478063
CHC,1.1247865158391472
PIT,0.6237385119417787
WSN,0.6499060256286422
BOS,0.7656792105521688
